dataset,sample_ratio,model,method,max_auc
DD,0.6,diff_pool,forest_fire,0.7553144860837169
DD,0.4,diff_pool,forest_fire,0.6845074309461774
DD,0.6,mincut_pool,random_walk,0.7649450897314146
DD,0.6,mincut_pool,forest_fire,0.7791495198902607
DD,0.4,mincut_pool,forest_fire,0.6935373901185866
DD,0.2,diff_pool,snow_ball,0.6908994245176582
DD,0.4,mincut_pool,random_walk,0.7268812753143237
DD,0.2,mean_pool,random_walk,0.6546375435264323
DD,0.6,diff_pool,random_walk,0.8014220663793313
DD,0.4,mean_pool,forest_fire,0.7903669613071322
DD,0.6,diff_pool,snow_ball,0.7766901242684718
DD,0.8,diff_pool,random_walk,0
DD,0.8,diff_pool,forest_fire,0
DD,0.4,diff_pool,random_walk,0.743516692234641
DD,0.6,mincut_pool,snow_ball,0.7469744563761658
DD,0.8,mean_pool,random_walk,0
DD,0.6,mean_pool,snow_ball,0
DD,0.2,mincut_pool,forest_fire,0.6758549037751317
DD,0.8,diff_pool,snow_ball,0
DD,0.2,mincut_pool,snow_ball,0.6060218667056274
DD,0.4,mean_pool,random_walk,0.7696122596407498
DD,0.6,mean_pool,forest_fire,0
DD,0.6,mean_pool,random_walk,0
DD,0.8,mincut_pool,snow_ball,0
DD,0.8,mincut_pool,random_walk,0
DD,0.8,mincut_pool,forest_fire,0
DD,0.2,mean_pool,forest_fire,0.7290606407415525
DD,0.8,mean_pool,snow_ball,0
DD,0.2,diff_pool,forest_fire,0.6419468997816575
DD,0.2,diff_pool,random_walk,0.6576042402253228
DD,0.4,mean_pool,snow_ball,0.7685854822606959
DD,0.2,mean_pool,snow_ball,0.6763297375832988
DD,0.4,mincut_pool,snow_ball,0.6952135128773306
DD,0.4,diff_pool,snow_ball,0.6974659296596618
DD,0.8,mean_pool,forest_fire,0
DD,0.2,mincut_pool,random_walk,0.673176354088035
